Reference,DOI,MOF contained,True Water Stability,Justification Sentence,
91,10.1002/anie.201204475,PCN-222(Ni),Stable,"he powder X-ray diffraction (XRD) patterns remain intact upon immersion in water, boiling water, as well as 2 m,4m,8m, and even concentrated aqueous HCl solutions for 24 h, suggesting that no phase transition or framework collapse happens during these treatments. More importantly, the N2 sorption isotherms remained almost the same through all treatments, which further confirmed that the tested frameworks remained intact.",
91,10.1002/anie.201204475,PCN-222(Cu),Stable,"he powder X-ray diffraction (XRD) patterns remain intact upon immersion in water, boiling water, as well as 2 m,4m,8m, and even concentrated aqueous HCl solutions for 24 h, suggesting that no phase transition or framework collapse happens during these treatments. More importantly, the N2 sorption isotherms remained almost the same through all treatments, which further confirmed that the tested frameworks remained intact.",
91,10.1002/anie.201204475,PCN-222(Zn),Stable,"he powder X-ray diffraction (XRD) patterns remain intact upon immersion in water, boiling water, as well as 2 m,4m,8m, and even concentrated aqueous HCl solutions for 24 h, suggesting that no phase transition or framework collapse happens during these treatments. More importantly, the N2 sorption isotherms remained almost the same through all treatments, which further confirmed that the tested frameworks remained intact.",
91,10.1002/anie.201204475,PCN-222(no metal),Stable,"he powder X-ray diffraction (XRD) patterns remain intact upon immersion in water, boiling water, as well as 2 m,4m,8m, and even concentrated aqueous HCl solutions for 24 h, suggesting that no phase transition or framework collapse happens during these treatments. More importantly, the N2 sorption isotherms remained almost the same through all treatments, which further confirmed that the tested frameworks remained intact.",
92,10.1039/b917512a,"Zn(1,4-BDP)",Stable,"The present work reports two new frameworks, built up of tetrahedral Zn 2+ions connected through 1,3- or 1,4-benzenedipyrazolate, which exhibit excellent stability to water, extreme temperatures, and even dilute acid.",
92,10.1039/b917512a,"Co(1,3-BDP)",Not provided,Not provided,
92,10.1039/b917512a,"Zn(1,3-BDP)",Stable,"Compound 3 exhibits an even more marked chemical stability. As shown at the bottom of Fig. 2, the structure is fully retained even after immersion in boiling water for 3 days.",
93,10.1021/ja310435e,PCMOF-5,Stable,"A fresh sample of PCMOF-5 was boiled in water for 7 days without significant loss in crystallinity, or mass loss, indicating the material was insoluble and stable to water. The MOF contains free phosphonic acid groups, shows high humidity stability, and resists swelling in the presence of hydration.",
94,10.1002/chem.201103078,SNU-80,Stable,"The results demonstrate that the pores of SNU-80 are highly hydrophobic, despite the fact that the pore sizes are larger than the kinetic diameter of water molecules. The PXRD patterns of SNU-80 revealed that the framework structure was unchanged after exposure to saturated water vapour at room temperature for one week as well as after immersion in liquid water for one week.",
94,10.1002/chem.201103078,SNU-80a,Unstable,"In contrast to desolvated SNU-80, which was stable in saturated water vapour as well as in liquid water, the green crystals of as-synthesized SNU-80a became amorphous after being immersed in water for 6 h and degraded to colourless powder after being immersed in water for 2 days.",
95,10.1021/ja306812r,CALF-25,Stable,"The retention of crystallinity and porosity of CALF-25 at 273 K after exposure to humid conditions suggests that the material is stable toward water vapor. While CALF-25 is stable toward water vapor at 353 K, boiling the MOF in water caused a significant loss in crystallinity.",
96,10.1039/c2cc34246d,DUT-51(Zr),Stable,"DUT-51(Zr) and DUT-51(Hf) are stable against hydrolysis and can be stored under ambient conditions without loss of crystallinity or porosity. The hydrothermal stability of both compounds was demonstrated by soaking dried samples in water for 12 hours. The powder XRD patterns, measured after this time, show no significant loss of crystallinity.",
96,10.1039/c2cc34246d,DUT-51(Hf),Stable,"DUT-51(Zr) and DUT-51(Hf) are stable against hydrolysis and can be stored under ambient conditions without loss of crystallinity or porosity. The hydrothermal stability of both compounds was demonstrated by soaking dried samples in water for 12 hours. The powder XRD patterns, measured after this time, show no significant loss of crystallinity.",
97,10.1021/ic300825s,MOF-525,Stable,"The chemical stability of MOF-525 and -545 was evaluated by immersing the activated structures in methanol, water, and acidic conditions [water:acetic acid = 50:50 (v/v)] for 12 h. Upon reactivation of these MOFs by immersion into acetone followed by evacuation at 30 mTorr, the crystallinity and porosity of the materials were completely recovered.",
97,10.1021/ic300825s,MOF-535,Not provided,Not provided,
97,10.1021/ic300825s,MOF-545,Stable,"The chemical stability of MOF-525 and -545 was evaluated by immersing the activated structures in methanol, water, and acidic conditions [water:acetic acid = 50:50 (v/v)] for 12 h. Upon reactivation of these MOFs by immersion into acetone followed by evacuation at 30 mTorr, the crystallinity and porosity of the materials were completely recovered.",
98,10.1021/ja802589u ,"Al(OH)(1,4-NDC)",Not provided,Not provided,
99,10.1038/ncomms1956,UTSA-16,Not provided,Not provided,
99,10.1038/ncomms1956,CuBTC,Not provided,Not provided,
99,10.1038/ncomms1956,Mg-MOF-74,Unstable,"he document states, ""Mg-MOF-74 is very unique because of its extremely high CO 2 uptake at room temperature and 1 bar. However, because the interactions of Mg-MOF-74 with water molecules are very strong, Mg-MOF-74 is highly sensitive to the moisture, leading to its significantly reduced CO 2 storage capacities once it is exposed to the air",
99,10.1038/ncomms1956,MIL-101,Not provided,Not provided,
99,10.1038/ncomms1956,Cu-TDPAT,Not provided,Not provided,
99,10.1038/ncomms1956,bio-MOF-11,Not provided,Not provided,
99,10.1038/ncomms1956,MOF-177,Not provided,Not provided,
99,10.1038/ncomms1956,ZIF-78,Not provided,Not provided,
99,10.1038/ncomms1956,ZnMOF-74,Not provided,Not provided,
100,10.1021/ic7004908,[Zn 6-(IDC)4(OH)2(Hprz) 2]n,Stable,"This MOF can adsorb water selectively over organic solvents and can be regenerated and reused. It also represents a rare example of a MOF with open channels that form/collapse reversibly upon hydration/dehydration. To check the adsorption properties of 1and to examine if the framework can be reversibly formed upon dehydration and hydration, a crystalline sample of 1was dried under vacuum at 120 °C for 2 h and then immersed in a variety of wet solvents (water, ethanol, acetone, tetrahydrofuran, benzene, toluene, and xylene).",
101,10.1021/ic202102m,[Cd(NDC) 0.5(PCA)] .Gx,Stable,"Desolvated compound is stable in open air even after months. To check the water stability of the framework, we kept compound 1A in a closed vessel exposed to water vapor for 24 hours at 60 °C. TGA data indicates that the water exposed phase takes∼10% H2O and PXRD pattern remains unchanged, indicating compound maintains the framework.",
